"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 18:39:32 GMT 2024","Thu Jul 18 18:39:33 GMT 2024","1145","","","","","","TC_13_Verify the sign up with Google account",""
"failed","Thu Jul 18 18:37:20 GMT 2024","Thu Jul 18 18:37:35 GMT 2024","15764","","","","","","TC_01_Verify cookie pop-up in case clicking 'Allow all' button",""
"passed","Thu Jul 18 18:38:10 GMT 2024","Thu Jul 18 18:38:16 GMT 2024","5705","","","","","","TC_05_Verify privacy policy and terms and conditions links of conect with us section",""
"passed","Thu Jul 18 18:39:10 GMT 2024","Thu Jul 18 18:39:14 GMT 2024","4047","","","","","","TC_11_Verify the sign up with all empty fields",""
"passed","Thu Jul 18 18:39:49 GMT 2024","Thu Jul 18 18:39:50 GMT 2024","1708","","","","","","TC_15_Verify that Promo code field appears after clicking on button",""
"passed","Thu Jul 18 18:39:21 GMT 2024","Thu Jul 18 18:39:25 GMT 2024","3571","","","","","","TC_12_Verify the sign up with invald filled fields",""
"passed","Thu Jul 18 18:38:37 GMT 2024","Thu Jul 18 18:38:39 GMT 2024","1290","","","","","","TC_09_Verify the contact us form with empty field",""
"passed","Thu Jul 18 18:37:38 GMT 2024","Thu Jul 18 18:37:42 GMT 2024","3719","","","","","","TC_02_Verify cookie pop-up in case allowing every option separately",""
"passed","Thu Jul 18 18:39:40 GMT 2024","Thu Jul 18 18:39:41 GMT 2024","1130","","","","","","TC_14_Verify the sign up with Microsoft account",""
"passed","Thu Jul 18 18:39:00 GMT 2024","Thu Jul 18 18:39:02 GMT 2024","2299","","","","","","TC_06_Verify the navigation bar",""
"passed","Thu Jul 18 18:38:24 GMT 2024","Thu Jul 18 18:38:30 GMT 2024","6396","","","","","","TC_08_Verify the contact us form with valid data",""
"passed","Thu Jul 18 18:38:46 GMT 2024","Thu Jul 18 18:38:53 GMT 2024","7065","","","","","","TC_10_Verify social media icons",""
"passed","Thu Jul 18 18:37:58 GMT 2024","Thu Jul 18 18:38:03 GMT 2024","4491","","","","","","TC_04_Verify conect with us section with valid and invalid email",""
"passed","Thu Jul 18 18:39:58 GMT 2024","Thu Jul 18 18:40:03 GMT 2024","5575","","","","","","TC_07_Verify adding and deleting item from the shoppoing card",""
"passed","Thu Jul 18 18:37:49 GMT 2024","Thu Jul 18 18:37:51 GMT 2024","1731","","","","","","TC_03_Verify cookie pop-up in case allowing all cookies at once",""
